"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"SL_No",1,56,28.5,16.31,28.5,28.5,20.756,1,56,55,0,-1.264,2.179
"Bearing_to_bearing_Length",2,56,147.944,0.208,147.952,147.944,0.309,147.7,148.196,0.496,-0.003,-1.963,0.028
"Driver_Shaft_length",3,56,127.941,0.006,127.94,127.941,0.007,127.931,127.95,0.019,0.045,-1.184,0.001
"Worm_length",4,56,68.01,0.005,68.01,68.01,0.007,68,68.02,0.019,-0.02,-1.139,0.001
"Thickness",5,56,1.498,0.018,1.499,1.498,0.021,1.459,1.543,0.084,0.163,0.048,0.002
"Height",6,56,2.183,0.045,2.19,2.185,0.037,2.08,2.28,0.2,-0.327,-0.089,0.006
"Load",7,56,3160.321,135.304,3158,3164.348,159.379,2825,3433,608,-0.271,-0.519,18.081
